age,age error,proxy,proxyerror,proxyname,researchername,proxytype,comments
1989.4633027523,3,19481.7927170868,1948.17927170868,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1988.4541284404,3,19653.125,1965.3125,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1987.4449541284,3,11806.6666666667,1180.66666666667,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1986.4357798165,3,19268.5714285715,1926.85714285715,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1985.4266055046,3,14440.3125,1444.03125,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1984.4174311927,3,13066.6666666666,1306.66666666666,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1983.4082568807,3,10954.2857142857,1095.42857142857,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1982.5,3,14869.1729323309,1486.91729323309,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1982.5,3,18102.216066482,1810.2216066482,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1982.5,3,15675,1567.5,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1982.5,3,19342.1052631579,1934.21052631579,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1980.6333333333,3,19930.909090909,1993.0909090909,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1978.7666666667,2,14405,1440.5,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1976.9,2,10014.5454545455,1001.45454545455,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1975.0333333333,2,11828.5714285714,1182.85714285714,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1973.1666666667,2,13425.641025641,1342.5641025641,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1971.3,2,12631.2925170068,1263.12925170068,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1969.4333333333,1,31246.4985994398,3124.64985994398,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1965.9038461539,1,8172.1739130435,817.21739130435,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1964.1730769231,1,9098.9010989011,909.89010989011,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1962.4423076923,1,3241.5584415584,324.15584415584,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1960.7115384615,1,2194.1558441558,219.41558441558,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1959.5,1,1856.8181818182,185.68181818182,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1958.1666666667,1,367.6767676768,36.76767676768,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1956.8333333333,1,943.4782608696,94.34782608696,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1955.880952381,1,1517.3553719008,151.73553719008,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1954.9285714286,1,625.7575757576,62.57575757576,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1953.9761904762,1,421.6783216783,42.16783216783,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1953.5,1,696.4646464646,69.64646464646,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1953.5,1,871.3636363636,87.13636363636,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1953.5,1,699.3006993007,69.93006993007,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1953.5,1,491.6387959866,49.16387959866,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1952.5769230769,1,397.3244147157,39.73244147157,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1949.5,1,609.5238095238,60.95238095238,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1946.6428571429,1,636.7346938776,63.67346938776,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1943.7857142857,1,302.5568181818,30.25568181818,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1940.9285714286,1,239.2857142857,23.92857142857,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1938.0714285714,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1935.2142857143,2,204.2780748663,20.42780748663,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1932.3571428571,2,73.5507246377,7.35507246377,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1929.5,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1928.9339622642,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1927.4245283019,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1925.9150943396,2,78.6713286713,7.86713286713,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1924.4056603774,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1922.8333333333,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1921.1666666667,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1971.125,2,1.1154,0.0047,2.kuwae_F14C_BG19S11,2_kuwae,f14c,age errors defined by me according to the first subsection of discussion
1968.9375,1,1.1023,0.005,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Till 2000 1 year
1967.2878787879,1,1.0727,0.0058,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Till 1990 2 years
1964.2575757576,1,0.8459,0.0037,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Till 1980 3 years
1962.5909090909,1,0.94613,0.00928,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Till 1970 2 years
1960.7727272727,1,0.79768,0.02491,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Till 1940 1 years
1958.9545454546,1,0.91618,0.00908,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Till 1920 2 years
1958.4411764706,1,0.925,0.004,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Then 3 years
1956.9666666667,1,0.945,0.0056,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1953.5,1,0.9341,0.0037,2.kuwae_F14C_BG19S11,2_kuwae,f14c,this is Percent of modern 14C
1953.5,1,0.92153,0.00595,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1953.5,1,0.92573,0.00679,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1953.3333333333,1,0.9388,0.0052,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1950.375,1,0.9263,0.0035,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1948.6290322581,1,0.9408,0.0076,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1945.7258064516,1,0.93035,0.0074,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1939.9193548387,2,0.92321,0.00626,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
2017.545455,0.8005055,0.0659,0.0339,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,age errors are found by taking the mean of the difference between upper and lower age estimate
2000.540541,1.4945945,0.219922,0.061,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1995.125,0.9479165,0.134058,0.0441,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1989.916667,2.3333335,0.169056,0.0556,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1981,2.4,0.123913,0.045,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1976.75,1.25,0.391097,0.0708,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1974.8,1.5666665,0.135,0.024,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1973.444445,1.5,0.103,0.02,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1971.916667,1.0833335,0.157751,0.0408,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1969.375,2.2291665,0.382644,0.0831,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1967,0.7954545,0.49863,0.10039,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1963.479167,0.75,0.752603,0.148074,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1961.568182,1.159091,0.23412,0.0599,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1959.083334,1.2916665,0.384159,0.0886,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1956,1.0797415,0.121665,0.0469,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1954.965518,0.689655,0.123813,0.045,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1953.28125,0.9479165,0.0916,0.0402,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1950.916667,1.4,0.0392,0.0265,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1948.333334,0.9722225,0.0578,0.0362,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1947.388889,0.472222,0.026,0.011,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
